translation,item,unit,macrocategory,category,use,subcategory,value,date,source
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1660,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1661,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1662,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,2295,1663,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,336,1664,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1665,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1666,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1667,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,28,1668,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1669,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1670,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1671,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1672,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1673,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1674,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1675,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1676,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1677,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1678,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,72,1679,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1680,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,336,1681,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1682,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1683,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1684,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1685,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1686,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1687,
oat groats,Habergrütz,Stoff (Solids),Grain,Grain,,,,1688,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1640,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,662,1641,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1642,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1643,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,432,1644,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,789,1645,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,408.5,1646,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1647,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1648,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1649,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1650,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1651,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1652,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1653,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1654,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1655,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1656,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1657,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1658,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,0,1659,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1660,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1661,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1662,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,1808,1663,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,48,1664,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1665,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1666,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1667,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,172,1668,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1669,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1670,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,8,1671,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1672,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1673,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1674,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1675,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1676,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1677,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1678,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1679,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1680,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,48,1681,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1682,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1683,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1684,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1685,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1686,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1687,
pearl barley,Gerstengraupen/ Graupen,Stoff (Solids),Grain,Grain,,,,1688,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1640,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1641,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1642,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1643,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1644,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1645,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1646,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1647,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1648,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1649,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1650,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1651,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1652,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1653,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1654,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1655,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1656,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1657,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1658,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1659,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1660,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1661,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1662,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1663,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1664,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1665,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1666,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1667,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1668,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1669,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1670,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1671,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1672,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1673,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1674,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1675,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1676,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1677,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1678,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,168,1679,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1680,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1681,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1682,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1683,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1684,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1685,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1686,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1687,
wheat flour,Weitzen Mehl,Stoff (Solids),Grain,Grain,,,,1688,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1640,
peas,Erbßen,Stof (Solids),Grain,Grain,,,1994.5,1641,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1642,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1643,
peas,Erbßen,Stof (Solids),Grain,Grain,,,1427,1644,
peas,Erbßen,Stof (Solids),Grain,Grain,,,2195,1645,
peas,Erbßen,Stof (Solids),Grain,Grain,,,3390,1646,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1647,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1648,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1649,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1650,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1651,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1652,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1653,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1654,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1655,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1656,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1657,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1658,
peas,Erbßen,Stof (Solids),Grain,Grain,,,972,1659,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1660,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1661,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1662,
peas,Erbßen,Stof (Solids),Grain,Grain,,,6246,1663,
peas,Erbßen,Stof (Solids),Grain,Grain,,,736,1664,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1665,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1666,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1667,
peas,Erbßen,Stof (Solids),Grain,Grain,,,1401.5,1668,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1669,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1670,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1671,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1672,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1673,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1674,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1675,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1676,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1677,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1678,
peas,Erbßen,Stof (Solids),Grain,Grain,,,192,1679,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1680,
peas,Erbßen,Stof (Solids),Grain,Grain,,,432,1681,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1682,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1683,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1684,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1685,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1686,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1687,
peas,Erbßen,Stof (Solids),Grain,Grain,,,,1688,
