caraway,Spice,Flavoring/Other,,NA,NA,NA,NA,NA,11,NA,0,NA,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
carp,Fish,Meat,,10825,1809,3077,9142,NA,NA,NA,52,0,12925,3598,NA,36,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
carp (type unknown),Fish,Meat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chameleon loach,Fish,Meat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1311,360,NA,NA,NA,NA,NA,NA,NA,780,NA,NA,300,NA,NA,NA,NA,NA,NA
cherry sauce,Fruit,Fruits and Vegetables,,NA,0.875,NA,11,NA,NA,NA,0,NA,31,111,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
cherry sauce or marmalade,Fruit,Fruits and Vegetables,,NA,NA,60.5,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chestnuts,Nuts,Flavoring/Other,,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,NA
cinnamon,Spice,Flavoring/Other,,23.2,20.14,35.203,41.6,NA,83.25,11.5,0.6,NA,74.34,31.8125,NA,0.5,0.8,0.7,1.1,0.8,2,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
citrons,Fruit,Fruits and Vegetables,Citrus,990,132,462,447,NA,NA,NA,0,NA,13140,638,NA,30,127,18,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
cloves,Spice,Flavoring/Other,,13,10.484,17.328,18.2,0.25,52.125,11,0.5,NA,60.7,20.5625,NA,0.375,0.344,0.375,0.5625,0.375,2,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
coarse salt,Salt,Flavoring/Other,,3812,2696,4382,4826,NA,NA,NA,24,NA,4786,577,NA,24,60,14,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
cod,Fish,Meat,,1356,744,1668,2256,NA,NA,NA,12,NA,2652,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,144,NA,NA,NA,NA,NA,NA,NA
cooking wine,Acid,Flavoring/Other,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coot,Meat,Meat,"Bird, wild",NA,NA,NA,NA,NA,NA,NA,0,NA,43,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
corned beef,Meat,Meat,Beef,245,540,120,192,NA,NA,NA,0,NA,288,NA,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
