translation,category,macrocategory,subcategory,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
Atlantic herring,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurochs,Meat,Meat,game,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacon,Meat,Meat,pork,,,152.173913043478,90,,,,,,,,,,,,,,,,,2800,20,,,,,,,25.8064516129032,675,96.2962962962963,,,,,,,,,2.77777777777778,50,,,,,
beef,Meat,Meat,Beef,,,63.1578947368421,320.833333333333,,,,,,,,,,,,,,,,,,29.6296296296296,0,,,,,,,,,,,,,,,,,,,,,,,
black grouse,Meat,Meat,"bird, fowl, wild",,,21.2765957446809,170,,,,,,,,,,,,,,,,,,84.4444444444444,,,,,,,Inf,,,,,,,,,,,,,,,,,
boar bacon,Meat,Meat,"pork, wild",,,,5.55555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brined/pickled castrated ram (wether),Meat,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brined/pickled goose,Meat,Meat,preserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brined/pickled lamb,Meat,Meat,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brined/pickled sheep,Meat,Meat,other,,,36,533.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burpot,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bustard,Meat,Meat,"bird, wild",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calf trunk,Meat,Meat,Beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6666666666667,,,,,,,,,,,,,,,,,
capercaillie,Meat,Meat,"bird, fowl, wild",,,161.538461538462,116.666666666667,,,,,,,,,,,,,,,,,,89.1304347826087,,,,,,,,,,,,,,,,,,,,,,,,
capon,Meat,Meat,"bird, fowl",,,117.777777777778,89.622641509434,,,,,,,,,,,,,,,,,566.666666666667,54.4117647058823,21.6216216216216,,,,,,85,,,,,,,,,,,,,,,,,
carp,Fish,Meat,,,,166.666666666667,160,,,,,,,,,,,,,,,,,Inf,320,,,,,,,,,,,,,,,,,,,,,,,,
carp (type unknown),Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4599542334096,,,,,,,,,,,,,,,,,
chameleon loach,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,19.1489361702128,,,,,,,,,,,,,,,,,,,,,,,,
cod,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5,,,,,,,,,,,,,,,,
coot,Meat,Meat,"Bird, wild",,,22.5,122.222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corned beef,Meat,Meat,Beef,,,206.451612903226,,,,,,,,,,,,,,,,,,344.444444444444,62.9032258064516,,,,,,,36.3636363636364,,,,,,,,,,,,,,,,,
cow tongue,Meat,Meat,Beef,,,343.75,134.545454545455,,,,,,,,,,,,,,,,,650,3.07692307692308,1075,,,,,,,,,,,,,,,,,,,,,,,
cow trunk,Meat,Meat,Beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23981900452489,,,,,,,,,,,,,,,,,
crabs,Seafood,Meat,,,,,,,,,,,,,,,,,,,,,,,84.7457627118644,,,,,,,,,,,,,,,,,,,,,,,,
crucian carp,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,228.571428571429,,,,,,,,,,,,,,,,,,,,,,,,
curlew,Meat,Meat,"Bird, wild",,,183.673469387755,94.4444444444444,,,,,,,,,,,,,,,,,,170.588235294118,,,,,,,200,250,60.8333333333333,27.3972602739726,,,,,,,,,,,,,,
Deer,Meat,Meat,"venison, wild",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deer tongue,Meat,Meat,other,,,,,,,,,,,,,,,,,,,,,,,28.5714285714286,,,,,,15,,,,,,,,,,,,,,,,,
doves,Meat,Meat,"Bird, wild",,,122.368421052632,88.1720430107527,,,,,,,,,,,,,,,,,,95.2380952380952,,,,,,,640,125,85,,,,,,,,,,,,,,,
dried beef,Meat,Meat,Beef,,,5,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried carp,Fish,Meat,,,,62.8571428571429,259.090909090909,,,,,,,,,,,,,,,,,,18.1818181818182,,,,,,,,,,,,,,,,,,,,,,,,
dried common roach,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried eel,Fish,Meat,,,,287.5,339.130434782609,,,,,,,,,,,,,,,,,,677.777777777778,,,,,,,,,,,,,,,,,,,,,,,,
dried geese,Meat,Meat,"Bird, fowl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried lamb,Meat,Meat,other,,,4800,2.08333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried lamprey,Fish,Meat,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried maraena whitfish,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried mutton,Meat,Meat,other,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried pike-perch,Fish,Meat,,,,,,,,,,,,,,,,1200,,,,,,,1900,,,,,,,200,,,,,,,,,,,,,,,,,
Dried roe,Fish,Meat,,,,159.375,0.980392156862745,,,,,,,,,,,,,,,,,,114.0625,,,,,,,,,,,,,,,,,,,,,,,,
dried salmon,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried sheep,Meat,Meat,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,
