"","1642","1643","1644","1645","1646","1647","1648","1649","1650","1651","1652","1653","1654","1655","1656","1657","1658","1659","1660","1661","1662","1663","1664","1665","1666","1667","1668","1669","1670","1671","1672","1673","1674","1675","1676","1677","1678","1679","1680","1681","1682","1683","1684","1685","1686","1687","1688"
"almonds",,,,178,91.0112359550562,,,,,,,,,,,866.666666666667,,,,,,,78.0821917808219,,,,,,,195.348837209302,85.7142857142857,183.333333333333,4.54545454545455,,,,,,,,,,,,,,
"apples",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atlantic herring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aurochs",,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bacon",,,,152.173913043478,90,,,,,,,,,,,,,,,,,2800,20,,,,,,,25.8064516129032,675,96.2962962962963,,,,,,,,,2.77777777777778,50,,,,,
"barley groats",,,,22.2222222222222,1000,,,,,,,,,,,,,,,,,91.6666666666667,143.181818181818,,,,,,,,,,,,,,,,,,,,,,,,
"beef",,,,63.1578947368421,320.833333333333,,,,,,,,,,,,,,,,,,29.6296296296296,0,,,,,,,,,,,,,,,,,,,,,,,
"beer vinegar",,,,122.222222222222,7.95454545454545,,,,,,,,,,,,,,,,,,225,,,,,,,,,245.454545454545,,,,,,,,,,,,,,,
"Big sheep cheese",,,,12.1212121212121,1137.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"black grouse",,,,21.2765957446809,170,,,,,,,,,,,,,,,,,,84.4444444444444,,,,,,,Inf,,,,,,,,,,,,,,,,,
"boar bacon",,,,,5.55555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brandenburg hard cheese",,,,46.4285714285714,225.641025641026,,,,,,,,,,,,,,,,,,152,,,,,,,,4031.25,73.2558139534884,41.2698412698413,76.9230769230769,10,700,100,7.14285714285714,1600,,,12.5,800,100,100,,
"brined/pickled castrated ram (wether)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"brined/pickled goose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"brined/pickled lamb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"brined/pickled sheep",,,,36,533.333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"buckwheat groats",,,,133.783783783784,4.04040404040404,,,,,,,,,,,,,,,,,,283.333333333333,,,,,,,100,,,,,,,,,,,,,,,,,
"burpot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bustard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"butter",,,,150.746268656716,91.0891089108911,,,,,,,,,,,,,,,,,4.50704225352113,268.75,,,,,,,8.20793433652531,1680,54.7619047619048,,,,,,,,,1.93548387096774,,,,,,166.666666666667
"calf trunk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6666666666667,,,,,,,,,,,,,,,,,
"candied lemon peel",,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8095238095238,,,,,,,,,,,,,,,
"capercaillie",,,,161.538461538462,116.666666666667,,,,,,,,,,,,,,,,,,89.1304347826087,,,,,,,,,,,,,,,,,,,,,,,,
"capon",,,,117.777777777778,89.622641509434,,,,,,,,,,,,,,,,,566.666666666667,54.4117647058823,21.6216216216216,,,,,,85,,,,,,,,,,,,,,,,,
"caraway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"carp",,,,166.666666666667,160,,,,,,,,,,,,,,,,,Inf,320,,,,,,,,,,,,,,,,,,,,,,,,
"chameleon loach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4599542334096,,,,,,,,,,,,,,,,,
"cherry sauce",,,,,,,,,,,,,,,,,,,,,,,19.1489361702128,,,,,,,,,,,,,,,,,,,,,,,,
"cherry sauce or marmalade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"chestnuts",,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
"cinnamon",,,,171.794871794872,83.5820895522388,,,,,,,,,,,47.9166666666667,,,,,,,51.7647058823529,,,,,,,87.5,157.142857142857,72.7272727272727,250,,,,,,,,,,,,,,
"citrons",,,,458.823529411765,75.6410256410256,,,,,,,,,,,,,,,,,,400,,,,,,,14.1732283464567,,,,,,,,,,,,,,,,,
"cloves",,,,442.857142857143,64.5161290322581,,,,,,,,,,,61.1111111111111,,,,,,,40.7894736842105,,,,,,,109.011627906977,150,66.6666666666667,533.333333333333,,,,,,,,,,,,,,
"coarse salt",,,,140,87.012987012987,,,,,,,,,,,,,,,,,,109.52380952381,,,,,,,23.3333333333333,,,,,,,,,,,,,,,,,
"cod",,,,30.5263157894737,100,,,,,,,,,,,,,,,,,,177.5,,,,,,,,,,,,,,,,,,,,,,,,
"cooking wine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5,,,,,,,,,,,,,,,,
"coot",,,,,,,,,,,,,,,,,,,,,,,146.428571428571,,,,,,,,,,,,,,,,,,,,,,,,
"corned beef",,,,22.5,122.222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cow tongue",,,,206.451612903226,,,,,,,,,,,,,,,,,,344.444444444444,62.9032258064516,,,,,,,36.3636363636364,,,,,,,,,,,,,,,,,
"cow trunk",,,,343.75,134.545454545455,,,,,,,,,,,,,,,,,650,3.07692307692308,1075,,,,,,,,,,,,,,,,,,,,,,,
"crabs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23981900452489,,,,,,,,,,,,,,,,,
"crucian carp",,,,,,,,,,,,,,,,,,,,,,,84.7457627118644,,,,,,,,,,,,,,,,,,,,,,,,
"curlew",,,,,,,,,,,,,,,,,,,,,,,228.571428571429,,,,,,,,,,,,,,,,,,,,,,,,
"currants",,,,183.673469387755,94.4444444444444,,,,,,,,,,,,,,,,,,170.588235294118,,,,,,,200,250,60.8333333333333,27.3972602739726,,,,,,,,,,,,,,
"dates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deer",,,,221.875,,,,,,,,,,,,,,,,,,,19.2982456140351,,,,,,,,,,,,,,,,,,,,,,,,
"deer tongue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"doves",,,,,,,,,,,,,,,,,,,,,,,,28.5714285714286,,,,,,15,,,,,,,,,,,,,,,,,
"dried beef",,,,122.368421052632,88.1720430107527,,,,,,,,,,,,,,,,,,95.2380952380952,,,,,,,640,125,85,,,,,,,,,,,,,,,
"dried carp",,,,5,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dried common roach",,,,62.8571428571429,259.090909090909,,,,,,,,,,,,,,,,,,18.1818181818182,,,,,,,,,,,,,,,,,,,,,,,,
"dried eel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dried geese",,,,287.5,339.130434782609,,,,,,,,,,,,,,,,,,677.777777777778,,,,,,,,,,,,,,,,,,,,,,,,
"dried lamb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dried lamprey",,,,4800,2.08333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dried maraena whitfish",,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dried mutton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dried pike-perch",,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dried plums",,,,,,,,,,,,,,,,1200,,,,,,,1900,,,,,,,200,,,,,,,,,,,,,,,,,
"Dried roe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dried salmon",,,,159.375,0.980392156862745,,,,,,,,,,,,,,,,,,114.0625,,,,,,,,,,,,,,,,,,,,,,,,
"dried sheep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dried white bream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,
"ducks",,,,191.379310344828,61.2612612612613,,,,,,,,,,,,,,,,,,131.666666666667,,,,,,,5.12820512820513,,,,,,,,,,,,,,,,,
"eggs",,,,17.7083333333333,58.8235294117647,,,,,,,,,,,,,,,,,0.664727877025343,268.75,,,,,,,43.7572702597906,190.208241027913,9.31749359422315,,,,,,,,,7.68935024990388,,,,,,
"European white fish",,,,,70.5882352941177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fattened pig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fieldfare",,,,62.5,114.285714285714,,,,,,,,,,,,,,,,,,363.636363636364,,,,,,,,,,,,,,,,,,,,,,,,
"figs",,,,,,,,,,,,,,,,,,,,,,,6400,,,,,,,,,,,,,,,,,,,,,,,,
"finch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fine salt",,,,164.285714285714,71.0144927536232,,,,,,,,,,,,,,,,,,114.084507042254,,,,,,,57.1428571428571,150,100,,,,,,,,,,,,,,,
"fish guts",,,,,,,,,,,,,,,,,,,,,,,54.5454545454545,,,,,,,,,,,,,,,,,,,,,,,,
"flounder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"geese",,,,124.137931034483,32.4074074074074,,,,,,,,,,,,,,,,,64.2857142857143,274.074074074074,112.162162162162,,,,,,14.6341463414634,,,,,,,,,,,,,,,,,
"ginger",,,,420,97.6190476190476,,,,,,,,,,,152.272727272727,,,,,,,20.4081632653061,,,,,,,80,171.428571428571,75,133.333333333333,,,,,,,,,,,,,,
"Gouda Cheese",,,,226.315789473684,116.279069767442,,,,,,,,,,,,,,,,,,461.538461538461,,,,,,,,,,,,,,,,,,,,,,,,
"gray partridge",,,,24.4186046511628,342.857142857143,,,,,,,,,,,,,,,,,,134.615384615385,,,,,,,,,,,,,,,,,,,,,,,,
"gudgeon",,,,808.333333333333,27.8350515463918,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
"haddock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"half dried white bream",,,,101.26582278481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"half-smoked salmon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ham",,,,,,,,,,,,,,,,,,,,,,,360.869565217391,,,,,,,,,,,,,,,,,,,,,,,,
"hazel grouse",,,,238.235294117647,6.17283950617284,,,,,,,,,,,,,,,,,,253.846153846154,6.06060606060606,,,,,,22.2222222222222,,,,,,,,,,,,,,,,,
"hen",,,,155.737704918033,80,,,,,,,,,,,,,,,,,19.672131147541,245.833333333333,391.525423728814,,,,,,19.2982456140351,,,,,,,,,,,4.37405731523379,,,,,,
"honey",,,,93.6170212765958,175,,,,,,,,,,,,,,,,,,,,,,,,,,250,40,,,,,,,,,,,,,,,
"jellied eel",,,,164.583333333333,49.3670886075949,,,,,,,,,,,,,,,,,,34.020618556701,,,,,,,,,,,,,,,,,,,,,,,,
"lamb",,,,372.727272727273,57.3170731707317,,,,,,,,,,,,,,,,,400,2100,4.16666666666667,,,,,,26,46.1538461538462,400,,,,,,,,,300,,,,,,
"lamprey",,,,,105.263157894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lard",,,,57.1428571428571,44.6428571428571,,,,,,,,,,,,,,,,,,114.285714285714,,,,,,,,,,,,,,,,,,,,,,,,
"lark",,,,413.333333333333,125.806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lemons",,,,224.242424242424,86.4864864864865,,,,,,,,,,,3333.33333333333,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"mace",,,,170.454545454545,73.3333333333333,,,,,,,,,,,45,,,,,,,64.6341463414634,,,,,,,76.1904761904762,162.5,69.2307692307692,177.777777777778,,,,,,,,,,,,,,
"millet gruel",,,,41.5730337078652,164.864864864865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moose",,,,,730,,,,,,,,,,,,,,,,,,1.51515151515152,,,,,,,,,,,,,,,,,,,,,,,,
"Moose and pickeled game (probably also moose)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mustard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mutton",,,,289.189189189189,90.6542056074766,,,,,,,,,,,,,,,,,179.48717948718,214.285714285714,42.6666666666667,,,,,,32.258064516129,,,,,,,,,,,,,,,,,
"nutmeg",,,,195.238095238095,68.2926829268293,,,,,,,,,,,52.6315789473684,,,,,,,62.0253164556962,,,,,,,138,159.420289855072,68.1818181818182,266.666666666667,,,,,,,,,,,,,,
"oat groats",,,,145.333333333333,11.9266055045872,,,,,,,,,,,,,,,,,,124.324324324324,,,,,,,,,,,,,,,,,,,,,,,,
"olives",,,,129.787234042553,18.0327868852459,,,,,,,,,,,14.8148148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"oxen",,,,133.333333333333,1725,,,,,,,,,,,,,,,,,440,14.5454545454545,325,,,,,,11.1111111111111,100,100,100,100,100,100,100,1400,,,,100,100,100,100,200,50
"oysters",,,,66.6666666666667,,,,,,,,,,,,,,,,,,,56.25,,,,,,,,,,,,,,,,,,,,,,,,
"pearl barley",,,,140.845070422535,54,,,,,,,,,,,,,,,,,,216.666666666667,,,,,,,,,,,,,,,,,,,,,,,,
"pearl barley groats",,,,,,,,,,,,,,,,,,,,,,,1.72413793103448,,,,,,,50,,,,,,,,,,,,,,,,,
"peas",,,,166.666666666667,105,,,,,,,,,,,,,,,,,,101.298701298701,,,,,,,,,,,,,,,,,,,,,,,,
"pepper",,,,242.105263157895,95.6521739130435,,,,,,,,,,,136.538461538462,,,,,,,23.5294117647059,,,,,,,77.7777777777778,171.428571428571,75,133.333333333333,,,,,,,,,,,,,,
"perch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pickled carp",,,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,,,,,,,,,,,,,,,,,,
"Pickled deer",,,,115.909090909091,7.84313725490196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pickled eel",,,,65.5172413793103,173.684210526316,,,,,,,,,,,,,,,,,,78.9473684210526,,,,,,,,,,,,100,,,,,,,,,,,,
"pickled gudgeon",,,,28.5714285714286,88.8888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pickled herring",,,,225,82.5396825396825,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,
"pickled lamprey",,,,109.259259259259,132.203389830508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pickled pike",,,,78.5714285714286,9.09090909090909,,,,,,,,,,,,,,,,,,1087.5,,,,,,,,,,,,,,,,,,,,,,,,
"pickled pike-perch",,,,,43.3962264150943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pickled pork",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pickled salmon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pickled sturgeon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pickled wild cow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pig",,,,167.307692307692,90.8045977011494,,,,,,,,,,,,,,,,,4300,39.5348837209302,5.88235294117647,,,,,,300,33.3333333333333,100,100,100,100,100,100,1500,,,3.84615384615385,100,100,100,,,
"pig's head",,,,108.695652173913,36,,,,,,,,,,,,,,,,,,29.7872340425532,,,,,,,,,,,,100,,,,,,,,,,,,
"pike",,,,18.8405797101449,684.615384615385,,,,,,,,,,,,,,,,,23.728813559322,321.428571428571,,,,,,,66.6666666666667,,,,,,,,,,,,,,,,,
"pike-perch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pinenuts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pistachios",,,,,,,,,,,,,,,,,,,,,,,10.2564102564103,,,,,,,,,,,,,,,,,,,,,,,,
"Plums",,,,24.1935483870968,173.333333333333,,,,,,,,,,,,,,,,,,94.4444444444444,,,,,,,,,,,,,,,,,,,,,,,,
"Pomagranates",,,,15.0537634408602,592.857142857143,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,
"poppy seeds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.666666666667,45.6521739130435,,,,,,,,,,,,,,,
"preserved barberries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"preserved sturgeon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"quail",,,,4.34782608695652,,,,,,,,,,,,,,,,,,,41.025641025641,,,,,,,,,,,,,,,,,,,,,,,,
"Quark",,,,63.3333333333333,63.1578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rabbit",,,,48.4536082474227,131.914893617021,,,,,,,,,,,,,,,,,,8.75,,,,,,,47.3684210526316,,,,,,,,,,,,,,,,,
"raisins",,,,193.023255813954,101.204819277108,,,,,,,,,,,,,,,,,,57.1428571428571,,,,,,,161.538461538462,214.285714285714,67.7777777777778,16.3934426229508,,,,,,,,,,,,,,
"rice",,,,129.62962962963,81.9047619047619,,,,,,,,,,,846.153846153846,,,,,,,7700,,,,,,,500,,,,,,,,,,,,,,,,,
"rice flour",,,,,,,,,,,,,,,,,,,,,,,106.896551724138,,,,,,,,,,,,,,,,,,,,,,,,
"roe deer",,,,114.285714285714,11.5384615384615,,,,,,,,,,,,,,,,,,62.6865671641791,,,,,,,,,,,,,,,,,,,,,,,,
"saffron",,,,180.701754385965,14.5631067961165,,,,,,,,,,,6,,,,,,,76.1363636363636,,,,,,,50,1400,42.8571428571429,266.666666666667,,,,,,,,,,,,,,
"salmon",,,,33.7349397590361,353.571428571429,,,,,,,,,,,,,,,,,,78.9473684210526,,,,,,,,,,,,,,,,,,,,,,,,
"salmon trout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"salted cod",,,,18.8235294117647,112.5,,,,,,,,,,,,,,,,,,235.294117647059,,,,,,,,,,,,,,,,,,,,,,,,
